Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 120.0.0.0,,,2023-12-13 17:42:12,2023-12-13 17:44:15,2m - 2.517s,PASSED
,,,,,,,
Test Cases/Login/Login_just_enter_correct_email_only,Chrome 120.0.0.0,,,2023-12-13 17:42:13,2023-12-13 17:42:26,13.024s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,Open the browser,,2023-12-13 17:42:13,2023-12-13 17:42:15,1.580s,PASSED
maximizeWindow(),Chrome 120.0.0.0,Maximize the window,,2023-12-13 17:42:15,2023-12-13 17:42:15,0.147s,PASSED
navigateToUrl(baseUrl),Chrome 120.0.0.0,Navigate to url H&M,,2023-12-13 17:42:15,2023-12-13 17:42:20,5.338s,PASSED
"click(findTestObject(""menu_pages/btnMenu_masuk_akun""))",Chrome 120.0.0.0,Click button menu (Masuk Akun),,2023-12-13 17:42:20,2023-12-13 17:42:23,2.757s,PASSED
"setText(findTestObject(""login_repos/input_loginUsername""), correct_email)",Chrome 120.0.0.0,Input correct email,,2023-12-13 17:42:23,2023-12-13 17:42:24,1.177s,PASSED
"setText(findTestObject(""login_repos/input_loginPassword""), blank_password)",Chrome 120.0.0.0,Input blank password,,2023-12-13 17:42:24,2023-12-13 17:42:25,0.656s,PASSED
"click(findTestObject(""login_repos/button_login""))",Chrome 120.0.0.0,Click button login,,2023-12-13 17:42:25,2023-12-13 17:42:25,0.376s,PASSED
"verifyTextPresent(""Kolom ini wajib diisi"", false)",Chrome 120.0.0.0,"Verify the error message ""Kolom ini wajib diisi""",,2023-12-13 17:42:25,2023-12-13 17:42:26,0.556s,PASSED
closeBrowser(),Chrome 120.0.0.0,Close the browser,,2023-12-13 17:42:26,2023-12-13 17:42:26,0.166s,PASSED
,,,,,,,
Test Cases/Login/Login_just_enter_correct_password_only,Chrome 120.0.0.0,,,2023-12-13 17:42:26,2023-12-13 17:42:40,14.331s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,Open the browser,,2023-12-13 17:42:26,2023-12-13 17:42:26,0.638s,PASSED
maximizeWindow(),Chrome 120.0.0.0,Maximize the window,,2023-12-13 17:42:26,2023-12-13 17:42:27,0.135s,PASSED
navigateToUrl(baseUrl),Chrome 120.0.0.0,Navigate to url H&M,,2023-12-13 17:42:27,2023-12-13 17:42:34,7.409s,PASSED
"click(findTestObject(""menu_pages/btnMenu_masuk_akun""))",Chrome 120.0.0.0,Click button menu (Masuk Akun),,2023-12-13 17:42:34,2023-12-13 17:42:37,2.926s,PASSED
"setText(findTestObject(""login_repos/input_loginUsername""), blank_email)",Chrome 120.0.0.0,Input blank email,,2023-12-13 17:42:37,2023-12-13 17:42:38,1.362s,PASSED
"setText(findTestObject(""login_repos/input_loginPassword""), correct_password)",Chrome 120.0.0.0,Input correct password,,2023-12-13 17:42:38,2023-12-13 17:42:39,0.698s,PASSED
"click(findTestObject(""login_repos/button_login""))",Chrome 120.0.0.0,Click button login,,2023-12-13 17:42:39,2023-12-13 17:42:39,0.362s,PASSED
